Deutsch,Arabic,English
sein,يكون,be
haben,امتلاك,to have
werden,إرادة,will
können,مقدرة,can
müssen,يجب أن,have to
sagen,قل,say
machen,فعل,do
geben,يعطى,give
kommen,تأتي,come
sollen,ينبغى,should
wollen,تريد,want
gehen,يذهب,walk
wissen,المعرفه,knowledge
sehen,انظر,see
lassen,لتدع,to let
stehen,الوقوف,stand
finden,تجد,Find
bleiben,إقامة,stay
liegen,مستلقي,lie
heißen,يدعى يسمى,be called
denken,اعتقد,think
nehmen,يأخذ,to take
tun,لكى يفعل,to do
dürfen,مسموح ل,allowed to
glauben,يصدق,believe
halten,معلق,hold
nennen,مكالمة,call
mögen,لكى تحب,to like
zeigen,يتظاهر,demonstrate
führen,لقيادة,to lead
sprechen,تحدث,speak
bringen,تجلب,bring
leben,الحياة,Life
fahren,قيادة,drive
meinen,يعني,say
fragen,يسأل,ask
kennen,أعرف,know
gelten,تكون صالحة,be valid
stellen,وضع,put
spielen,لعب,play
arbeiten,عمل,work
brauchen,بحاجة إلى,need
folgen,الآثار,consequences
lernen,تعلم,learn
bestehen,تتألف,consist
verstehen,تفهم,understand
setzen,وضع,put
bekommen,لتأخذ، لتمتلك,to get
beginnen,بداية,begin
erzählen,يخبار,tell
versuchen,في محاولة,to attempt
schreiben,اكتب,write
"laufen,",يهرب،,"to run,"
erklären,لشرح,to explain
entsprechen,تطابق,correspond
sitzen,تجلس,sit
ziehen,سحب. شد,pull
scheinen,يبدو انه,seem to be
fallen,خريف,fall
gehören,تنتمي,belong
entstehen,تنشأ,arise
erhalten,استلام,receive
treffen,لكي نلتقي,to meet
suchen,بحث,search
legen,بسط,lay
vor·stellen,لتقديم,to introduce
handeln,فعل,act
erreichen,للوصول,to reach
tragen,البس، ارتداء,wear
schaffen,ينجز,create
lesen,يقرأ,read
verlieren,لتخسر,to lose
dar·stellen,· هو مجموعة,· is set
erkennen,الكشف,detect
entwickeln,طور,develop
reden,حديث,talk
aus·sehen,تبدو,appearance
erscheinen,يظهر,appear
bilden,شكل,form
an·fangen,لتبدأ,to begin
erwarten,توقع,expect
wohnen,مسكن,live
betreffen,تؤثر,affect
warten,انتظار,waiting
vergehen,مرور,elapse
helfen,مساعدة,help
gewinnen,يفوز,win
schließen,يغلق,shut down
fühlen,يشعر,feel
bieten,عرض,Offer
interessieren,فائدة,interest
erinnern,اعد الاتصال,recall
ergeben,يخضع أو يستسلم,yield
an·bieten,لعرض,to offer
studieren,ليدرس,to study
verbinden,الاتصال,connect
an·sehen,يشاهد، يتفرج,look at
fehlen,غياب,absence
bedeuten,يعني,mean
vergleichen,لمقارنة,to compare
